,Unnamed: 0,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Employment Labor Force,Poverty Rate,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,Employment_PCT,Recommended,Another_Store_Present
0,0,8518,5217.0,41.5,74286.0,33963.0,170.0,3220.0,3.2585777266628333,,,,,,,,,,,,,,61.72129576384896,Y,0
1,1,8520,27468.0,37.4,90293.0,37175.0,1834.0,16187.0,6.6768603465851175,,,,,,,,,,,,,,58.93039172855686,Y,0
3,3,8527,54867.0,42.2,88588.0,37021.0,2191.0,29204.0,3.9932928718537553,,,,,,,,,,,,,,53.226894125795106,Y,0
4,4,8528,245.0,48.5,58676.0,49117.0,0.0,130.0,0.0,,,,,,,,,,,,,,53.06122448979592,Y,0
5,5,8530,7568.0,43.8,87396.0,46371.0,249.0,4058.0,3.2901691331923884,,,,,,,,,,,,,,53.620507399577164,Y,0
6,6,8533,6789.0,41.0,85301.0,30981.0,459.0,3532.0,6.7609368095448525,,,,,,,,,,,,,,52.02533510089851,Y,0
9,9,8536,19944.0,34.0,90089.0,46406.0,673.0,11609.0,3.3744484556758927,,,,,,,,,,,,,,58.20798235058163,Y,0
15,15,8554,4023.0,39.6,71750.0,30004.0,169.0,2217.0,4.200845140442456,,,,,,,,,,,,,,55.10812826249068,Y,0
16,16,8555,812.0,40.3,78083.0,30321.0,70.0,407.0,8.620689655172415,,,,,,,,,,,,,,50.12315270935961,Y,0
21,21,8562,5713.0,34.9,65036.0,26970.0,485.0,3102.0,8.489410117276387,,,,,,,,,,,,,,54.29721687379661,Y,0
24,24,8610,29222.0,38.5,61016.0,28416.0,3005.0,16691.0,10.283348162343438,,,,,,,,,,,,,,57.117924851139556,Y,0
27,27,8619,23175.0,42.3,72330.0,34252.0,1017.0,13518.0,4.388349514563107,,,,,,,,,,,,,,58.33009708737864,Y,0
28,28,8620,12638.0,43.2,88438.0,33407.0,359.0,6488.0,2.8406393416679854,,,,,,,,,,,,,,51.33723690457351,Y,0
