,0,1,Zipcode,Another_Store_Present
19887,0.535,0.465,67859,0
20338,0.54,0.46,68980,0
12393,0.54,0.46,45872,0
23150,0.54,0.46,79001,0
19783,0.54,0.46,67566,0
8631,0.54,0.46,31795,0
14225,0.54,0.46,50648,0
23935,0.54,0.46,83324,0
538,0.54,0.46,2462,0
21594,0.54,0.46,73601,0
532,0.54,0.46,2452,0
11723,0.54,0.46,43830,0
1664,0.545,0.455,6066,0
18497,0.545,0.455,63438,0
15248,0.545,0.455,54619,0
15588,0.545,0.455,55438,0
19664,0.545,0.455,67232,0
14475,0.545,0.455,51650,0
23981,0.545,0.455,83454,0
8349,0.545,0.455,30641,0
19640,0.545,0.455,67144,0
2070,0.545,0.455,7626,0
14603,0.545,0.455,52317,0
4175,0.545,0.455,15632,0
5524,0.55,0.45,20623,0
14053,0.55,0.45,50273,0
506,0.55,0.45,2324,0
3838,0.55,0.45,14788,0
21741,0.55,0.45,74053,0
18374,0.55,0.45,62977,0
25005,0.55,0.45,91978,0
9818,0.55,0.45,36852,0
196,0.55,0.45,1201,0
2569,0.555,0.445,10914,0
1508,0.555,0.445,5482,0
9237,0.555,0.445,34688,0
7752,0.555,0.445,28729,0
12960,0.555,0.445,47714,0
2208,0.555,0.445,8003,0
8886,0.555,0.445,32766,0
7569,0.555,0.445,28409,0
15456,0.555,0.445,55024,0
791,0.56,0.44,3253,0
3864,0.56,0.44,14830,0
14283,0.56,0.44,51002,0
25457,0.56,0.44,95525,0
26440,0.56,0.44,99573,0
19907,0.56,0.44,67951,0
15966,0.56,0.44,56319,0
345,0.56,0.44,1742,0
573,0.56,0.44,2568,0
15238,0.56,0.44,54601,0
1921,0.56,0.44,7018,0
20520,0.56,0.44,70435,0
22634,0.565,0.435,77086,0
20980,0.565,0.435,71944,0
15362,0.565,0.435,54841,0
16781,0.565,0.435,58497,0
17176,0.565,0.435,59740,0
487,0.565,0.435,2155,0
2996,0.565,0.435,12527,0
1113,0.565,0.435,4401,0
14803,0.565,0.435,53069,0
459,0.565,0.435,2120,0
17919,0.565,0.435,62061,0
6750,0.565,0.435,25443,0
1994,0.565,0.435,7111,0
3021,0.565,0.435,12577,0
10169,0.565,0.435,38028,0
20433,0.57,0.43,69352,0
23848,0.57,0.43,82933,0
2734,0.57,0.43,11933,0
10813,0.57,0.43,40067,0
14868,0.57,0.43,53224,0
1450,0.57,0.43,5255,0
24225,0.57,0.43,84542,0
1644,0.57,0.43,6029,0
13123,0.57,0.43,48139,0
23088,0.57,0.43,78733,0
311,0.575,0.425,1561,0
4645,0.575,0.425,16852,0
21698,0.575,0.425,73944,0
23908,0.575,0.425,83253,0
13859,0.575,0.425,49931,0
26148,0.575,0.425,98396,0
15837,0.575,0.425,56138,0
14594,0.575,0.425,52306,0
5421,0.575,0.425,19543,0
2350,0.575,0.425,8349,0
16883,0.575,0.425,58759,0
16091,0.575,0.425,56547,0
22321,0.575,0.425,76035,0
17340,0.575,0.425,60444,0
7550,0.575,0.425,28376,0
